City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,8.45,90,99,20.34,TF,1683871428
1,grytviken,-54.2811,-36.5092,-3.91,68,1,2.23,GS,1683871158
2,waitangi,-43.9535,-176.5597,11.1,65,70,13.45,NZ,1683871428
3,ilulissat,69.2167,-51.1,-2.99,86,100,4.12,GL,1683871429
4,edinburgh of the seven seas,-37.0676,-12.3116,17.21,89,94,12.65,SH,1683871429
5,puerto natales,-51.7236,-72.4875,6.65,76,76,4.35,CL,1683871430
6,hawaiian paradise park,19.5933,-154.9731,21.69,97,88,2.1,US,1683871430
7,kodiak,57.79,-152.4072,5.73,87,100,6.17,US,1683871430
8,yemva,62.59,50.8594,14.9,55,95,3.61,RU,1683871431
9,uturoa,-16.7333,-151.4333,24.66,90,100,9.59,PF,1683871431
10,eqbaliyeh,35.3022,51.5358,26.9,16,52,4.35,IR,1683871432
11,blackmans bay,-43.0167,147.3167,15.41,56,46,2.67,AU,1683871398
12,tiksi,71.6872,128.8694,-9.41,78,88,7.37,RU,1683871432
13,adamstown,-25.066,-130.1015,22.39,63,100,7.8,PN,1683871221
14,invercargill,-46.4,168.35,8.34,95,83,1.34,NZ,1683871433
15,gamba,-2.65,10.0,25.35,94,86,2.31,GA,1683871433
16,asia,9.5506,122.5164,29.69,72,100,2.62,PH,1683871434
17,port mathurin,-19.6833,63.4167,25.53,77,66,9.43,MU,1683871435
18,el calafate,-50.3408,-72.2768,5.91,85,35,5.67,AR,1683871435
19,iskateley,67.6803,53.1512,0.76,100,100,3.0,RU,1683871435
20,talnakh,69.4865,88.3972,-12.66,76,37,4.0,RU,1683871436
21,bilibino,68.0546,166.4372,1.13,99,100,1.3,RU,1683871436
22,nelson bay,-32.7167,152.15,21.03,76,0,4.47,AU,1683871437
23,puerto ayora,-0.7393,-90.3518,24.75,100,28,2.7,EC,1683871437
24,aksu,41.1231,80.2644,27.31,6,22,4.17,CN,1683871437
25,hermanus,-34.4187,19.2345,10.45,77,67,7.49,ZA,1683871438
26,nemuro,43.3236,145.575,7.05,77,7,3.65,JP,1683871204
27,sabha,27.0377,14.4283,21.84,42,67,6.43,LY,1683871439
28,callao,-12.0667,-77.15,22.16,73,100,4.63,PE,1683871206
29,princeville,45.7668,-61.2985,3.82,95,100,2.06,CA,1683871439
30,namibe,-15.1961,12.1522,22.39,75,22,2.66,AO,1683871440
31,pombas,17.1503,-25.0201,21.88,81,73,5.04,CV,1683871440
32,togitsu,32.8333,129.85,23.99,53,75,8.23,JP,1683871440
33,whitehorse,60.7161,-135.0538,11.43,41,75,2.57,CA,1683871441
34,jamestown,42.097,-79.2353,14.8,72,0,1.54,US,1683871030
35,butte,39.6499,-121.5677,18.12,58,8,2.5,US,1683871273
36,jiuquan,39.7432,98.5174,24.11,7,2,3.75,CN,1683871442
37,yellowknife,62.456,-114.3525,11.98,50,40,2.57,CA,1683871279
38,albany,42.6001,-73.9662,14.67,71,56,0.89,US,1683871201
39,nouadhibou,20.931,-17.0347,17.99,100,75,7.2,MR,1683871443
40,huayin,34.5675,110.0921,27.67,25,69,3.69,CN,1683871444
41,ushuaia,-54.8,-68.3,7.81,76,100,6.17,AR,1683871444
42,nova sintra,14.8667,-24.7167,19.56,84,10,8.61,CV,1683871445
43,conception bay south,47.4999,-52.9981,2.08,73,55,2.51,CA,1683871273
44,la passe,45.5549,-0.8967,11.66,85,79,2.49,FR,1683871446
45,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,70,75,2.0,RU,1683871446
46,minas de marcona,-15.2119,-75.1103,13.51,90,37,3.48,PE,1683871447
47,ust-nera,64.5667,143.2,5.01,57,99,1.62,RU,1683871447
48,yarmolyntsi,49.1924,26.8373,9.84,65,29,4.12,UA,1683871447
49,lavrio,37.7145,24.0565,17.86,65,39,7.63,GR,1683871203
50,west island,-12.1568,96.8225,29.99,79,75,6.17,CC,1683871448
51,papatowai,-46.5619,169.4708,10.9,91,99,3.84,NZ,1683871449
52,constantia,44.1833,28.65,12.61,54,81,5.99,RO,1683871204
53,atafu village,-8.5421,-172.5159,28.77,75,28,5.36,TK,1683871451
54,borogontsy,62.6683,131.1683,5.85,47,100,2.28,RU,1683871452
55,bethel,41.3712,-73.414,15.78,76,0,2.06,US,1683871452
56,fale old settlement,-9.3852,-171.2468,28.81,75,36,5.94,TK,1683871453
57,east london,-33.0153,27.9116,15.52,100,100,5.66,ZA,1683871453
58,cidreira,-30.1811,-50.2056,16.58,69,92,3.11,BR,1683871453
59,thompson,55.7435,-97.8558,11.09,50,20,6.17,CA,1683871358
60,longyearbyen,78.2186,15.6401,-5.09,74,75,5.14,SJ,1683871454
61,puerto baquerizo moreno,-0.9,-89.6,25.87,88,58,3.73,EC,1683871455
62,es castell,39.8795,4.2854,14.38,88,20,1.54,ES,1683871455
63,bushehr,28.9684,50.8385,30.05,45,20,4.12,IR,1683871456
64,afaahiti,-17.75,-149.2833,23.93,91,100,11.22,PF,1683871456
65,macas,-2.3167,-78.1167,20.53,97,100,1.18,EC,1683871234
66,haiku-pauwela,20.9219,-156.3051,23.36,63,40,5.14,US,1683871457
67,novyy urgal,51.0736,132.5642,22.72,22,77,4.13,RU,1683871458
68,portland,45.5234,-122.6762,18.02,68,20,0.89,US,1683871458
69,sturgeon bay,44.8342,-87.377,18.99,51,0,2.57,US,1683871211
70,guarapari,-20.6667,-40.4975,21.61,90,100,2.38,BR,1683871358
71,guerrero negro,27.9769,-114.0611,14.58,82,43,9.38,MX,1683871460
72,tulagi,-9.0996,160.1476,28.96,78,42,9.04,SB,1683871460
73,waingapu,-9.6567,120.2641,28.47,60,62,7.16,ID,1683871460
74,kota belud,6.351,116.4305,31.55,63,34,3.06,MY,1683871461
75,beihai,21.4833,109.1,21.75,89,100,6.87,CN,1683871462
76,toshbuloq,40.9234,71.5721,28.45,26,71,2.06,UZ,1683871462
77,aasiaat,68.7098,-52.8699,-5.38,96,100,3.16,GL,1683871462
78,kupang,-10.1667,123.5833,31.32,58,20,8.23,ID,1683871463
79,benguela,-12.5763,13.4055,25.04,81,31,1.68,AO,1683871463
80,happy valley-goose bay,53.3168,-60.3315,0.17,59,20,1.54,CA,1683871209
81,peace river,56.2501,-117.286,16.17,55,75,4.63,CA,1683871341
82,darab,28.7519,54.5444,31.44,14,9,2.4,IR,1683871464
83,gulf shores,30.246,-87.7008,22.25,60,75,3.09,US,1683871465
84,abu al matamir,30.9102,30.1744,18.27,55,0,5.95,EG,1683871465
85,mount gambier,-37.8333,140.7667,14.89,56,5,2.59,AU,1683871455
86,stanley,54.868,-1.6985,8.77,95,100,4.63,GB,1683871466
